(index -> (radius,density,mass within (shells),gravitational acceleration (shells),density slope,mass within (linear),gravitational acceleration (linear)
"radius[unit=""m""]","density[unit=""kg/m^3""]",mass[unit=”kg”],acceleration[unit=”m/s^2”],slope[unit=””],mass[unit=”kg”],acceleration[unit=”m/s^2”]
2427744,11265.09,7.09084200355259E+023,-8.0296710384637,-0.00100919576059856,7.08795340593875E+023,-8.02639998989288
2440577,11252.06,7.19848162242634E+023,-8.06606273688556,-0.00101535104807922,7.19553066361581E+023,-8.06275612027554
2453409,11238.95,7.30712486109053E+023,-8.10237507985465,-0.00102166458852858,7.30411050044309E+023,-8.09903265981178
2466241,11225.76,7.41678261878948E+023,-8.13861017710582,-0.00102789900249381,7.41370379923327E+023,-8.13523171592373
2479074,11212.49,7.52746607567893E+023,-8.17477013063441,-0.00103405283254114,7.52432172334721E+023,-8.17135538824127
2491906,11199.14,7.63916044716247E+023,-8.21084859184499,-0.00104036783042397,7.63594948670205E+023,-8.20739733429421
2504739,11185.7,7.75188556176327E+023,-8.24685047585366,-0.00104729992986821,7.74860684522582E+023,-8.24336241029573
2517571,11172.18,7.86562612322671E+023,-8.28276936151108,-0.00105361596009978,7.86227855128801E+023,-8.27924425545404
2530403,11158.58,7.98039319527841E+023,-8.31860735435409,-0.00105985037406487,7.97697565144188E+023,-8.31504497282768
2543236,11144.9,8.09619812585494E+023,-8.35436655059298,-0.00106600171433027,8.09270947607156E+023,-8.3507666560988
2556068,11131.13,8.21302509869678E+023,-8.39004068873697,-0.00107309850374068,8.20946415547867E+023,-8.38640299639692
2568901,11117.28,8.33089440160414E+023,-8.42563453769948,-0.00107924881165733,8.32726000604895E+023,-8.42195881127237
2581733,11103.34,8.44978980009586E+023,-8.46114187125068,-0.0010863466334165,8.446080739037E+023,-8.4574278271655
2594565,11089.32,8.56972241244895E+023,-8.49656467846375,-0.00109258104738158,8.56593750781081E+023,-8.49281208467926
2607398,11075.22,8.6907037499807E+023,-8.53190504578945,-0.00109872983713866,8.68684180534672E+023,-8.52811366757001
2620230,11061.03,8.81271694753281E+023,-8.5671567991873,-0.00110582917705725,8.80877671097617E+023,-8.56332635454603
2633063,11046.76,8.93578285237166E+023,-8.60232466326066,-0.00111197693446586,8.93176310195135E+023,-8.59845491857773
2645895,11032.4,9.05988417530397E+023,-8.63740249905539,-0.00111907730673321,9.05578363273666E+023,-8.63349317351292
2658727,11017.96,9.1850321871418E+023,-8.67239228268654,-0.00112531172069829,9.18084961112654E+023,-8.6684431468297
2671560,11003.43,9.31123855971097E+023,-8.70729608630866,-0.00113223720096617,9.30697263242746E+023,-8.70330685418857
2684392,10988.81,9.43848524909465E+023,-8.74210771593315,-0.00113933915211976,9.43413465194059E+023,-8.73807810864494
2697224,10974.11,9.56678361436292E+023,-8.77682913869314,-0.0011455735660847,9.56234706686735E+023,-8.77275892858869
2710057,10959.32,9.69614542024852E+023,-8.81146241697923,-0.00115249746746676,9.69162156324715E+023,-8.80735131981435
2722889,10944.45,9.82655197344513E+023,-8.84600140993711,-0.00115882169576052,9.8219395069862E+023,-8.84184920223401
2735722,10929.48,9.95802513320555E+023,-8.88045086845436,-0.00116652380581323,9.95332261023846E+023,-8.8762572132257
2748554,10914.43,1.00905456502079E+024,-8.91480457968889,-0.00117284912718199,1.00857517438996E+024,-8.91056925492123
2761386,10899.3,1.02241251485004E+024,-8.94906460039899,-0.00117908354114721,1.02192385119408E+024,-8.94478738101688
2774219,10884.07,1.03587755452516E+024,-8.9832329732632,-0.00118678407231353,1.03537946872762E+024,-8.97891352378736
2787051,10868.76,1.04944769307653E+024,-9.01730353876665,-0.00119311097256854,1.04894004842797E+024,-9.01294163877291
2799884,10853.36,1.06312517240386E+024,-9.05128099133785,-0.00120003116964074,1.06260782307299E+024,-9.04687636026904
2812716,10837.87,1.07690796981829E+024,-9.08515931491713,-0.00120713840399001,1.07638077003839E+024,-9.08071167953373
2825548,10822.29,1.09079724954913E+024,-9.11894043697362,-0.00121415211970074,1.09026005134226E+024,-9.11444952131232
2838381,10806.62,1.10479420494798E+024,-9.15262627074385,-0.00122107067716045,1.10424685807614E+024,-9.14809179605531
2851213,10790.86,1.1188967467038E+024,-9.18621085484446,-0.00122817955112221,1.11833910104133E+024,-9.18163254978385
